#key,timestamp,value,count
627,1456164046,61,5
628,1456164052,61,5
629,1456164058,61,5
630,1456164064,62,5
631,1456164070,62,5
632,1456164076,62,5
633,1456164082,62,5
634,1456164088,78,4
635,1456164094,78,4
636,1456164100,78,4
637,1456164106,78,4
638,1456164112,78,4
639,1456164118,78,4
640,1456164124,79,4
641,1456164130,79,4
642,1456164136,79,4
643,1456164142,79,4
644,1456164148,79,4
645,1456164154,80,4
646,1456164160,80,4
647,1456164166,80,4
648,1456164172,80,4
649,1456164178,80,4
650,1456164184,82,4
651,1456164190,82,4
652,1456164196,82,4
653,1456164202,82,4
654,1456164208,83,4
655,1456164214,84,4
656,1456164220,84,4
657,1456164226,84,4
658,1456164232,84,4
659,1456164238,85,4
660,1456164244,65,4
661,1456164250,65,4
662,1456164256,65,4
663,1456164262,65,4
664,1456164268,66,4
665,1456164274,66,4
666,1456164280,66,4
667,1456164286,66,4
668,1456164292,66,4
669,1456164298,66,4
670,1456164304,66,4
671,1456164310,88,3
672,1456164316,88,3
673,1456164322,88,3
674,1456164328,88,3
675,1456164334,88,3
676,1456164340,88,3
677,1456164346,88,3
678,1456164352,88,3
679,1456164358,89,3
680,1456164364,89,3
681,1456164370,89,3
682,1456164376,89,3
683,1456164382,89,3
684,1456164388,91,3
685,1456164394,92,3
686,1456164400,92,3
687,1456164406,92,3
688,1456164412,92,3
689,1456164418,62,3
690,1456164424,62,3
691,1456164430,62,3
692,1456164436,62,3
693,1456164442,62,3
694,1456164448,63,3
695,1456164454,65,3
696,1456164460,65,3
697,1456164466,65,3
698,1456164472,65,3
699,1456164478,65,3
700,1456164484,97,2
701,1456164490,97,2
702,1456164496,97,2
703,1456164502,97,2
704,1456164508,98,2
705,1456164514,98,2
706,1456164520,98,2
707,1456164526,98,2
708,1456164532,98,2
709,1456164538,98,2
710,1456164544,98,2
711,1456164550,98,2
712,1456164556,98,2
713,1456164562,98,2
714,1456164568,97,2
715,1456164574,48,2
716,1456164580,48,2
717,1456164586,48,2
718,1456164592,48,2
719,1456164598,48,2
720,1456164604,48,2
721,1456164610,48,2
722,1456164616,48,2
723,1456164622,48,2
724,1456164628,46,2
725,1456164634,92,1
726,1456164640,92,1
727,1456164646,92,1
728,1456164652,92,1
729,1456164658,92,1
730,1456164664,92,1
731,1456164670,92,1
732,1456164676,92,1
733,1456164682,92,1
734,1456164688,83,1
735,1456164694,83,1
736,1456164700,83,1
737,1456164706,83,1
738,1456164712,83,1
